word,frequency
israel,1430
iran,1212
us,1107
gaza,1096
new,926
world,874
israeli,862
war,854
people,771
obama,702
police,685
,657
government,643
says,633
china,628
u.s,606
president,588
uk,567
one,551
years,483
north,458
british,453
man,447
killed,445
korea,430
news,429
death,426
two,419
pakistan,418
first,403
iranian,390
afghanistan,365
iraq,356
hamas,347
may,343
nuclear,340
military,335
attack,333
palestinian,325
dead,323
un,323
russia,321
country,318
minister,316
year,314
state,312
children,311
rights,311
human,311
|,310
